"","OBJECTID","WD11CD","WD11CDO","WD11NM","WD11NMW","Shape_Leng","Shape_Area","treeCount","treeDensity"
"219",220,"E05000220","00ALGW","Eltham West",NA,7858.00051095,2425676.36958,464,0.000191286853356027
"220",221,"E05000221","00ALGX","Glyndon",NA,7590.89690022,1702954.55927,646,0.00037934071492278
"221",222,"E05000222","00ALGY","Greenwich West",NA,9588.16670309,2789676.02555,310,0.000111124014817182
"222",223,"E05000223","00ALGZ","Kidbrooke with Hornfair",NA,7511.71274208,2377207.18916,909,0.000382381478628072
"223",224,"E05000224","00ALHA","Middle Park and Sutcliffe",NA,11982.3598745,3288405.76032,805,0.000244799473869904
"224",225,"E05000225","00ALHB","Peninsula",NA,9700.21624119,4490152.67544,1228,0.000273487359730552
"225",226,"E05000226","00ALHC","Plumstead",NA,9028.72639233,2346115.0128,739,0.000314988820225067
"226",227,"E05000227","00ALHD","Shooters Hill",NA,9586.93107735,3772080.55417,945,0.000250524872527162
"227",228,"E05000228","00ALHE","Thamesmead Moorings",NA,9317.24843524,4812550.28467,735,0.000152725676931983
"228",229,"E05000229","00ALHF","Woolwich Common",NA,8323.45413368,2620379.50543,285,0.000108762871716719
"229",230,"E05000230","00ALHG","Woolwich Riverside",NA,9381.11292496,3260050.39378,579,0.000177604616511616
"230",231,"E05000231","00AMGA","Brownswood",NA,3999.09792615,838529.400634,11,1.3118204312971e-05
"231",232,"E05000232","00AMGB","Cazenove",NA,3719.10125572,684627.549972,23,3.35949086489508e-05
"232",233,"E05000233","00AMGC","Chatham",NA,5076.28408232,907499.031516,22,2.42424501138564e-05
"233",234,"E05000234","00AMGD","Clissold",NA,3597.67503621,700441.726981,22,3.14087512956557e-05
"234",235,"E05000235","00AMGE","Dalston",NA,5552.15724586,926575.120599,15,1.6188649647955e-05
"235",236,"E05000236","00AMGF","De Beauvoir",NA,4690.29133742,887803.671649,44,4.95605069059489e-05
"236",237,"E05000237","00AMGG","Hackney Central",NA,4344.11822343,780319.081399,0,0
"237",238,"E05000238","00AMGH","Hackney Downs",NA,4453.9150672,1018044.63671,47,4.6166934439717e-05
"238",239,"E05000239","00AMGJ","Haggerston",NA,7323.30498485,1242534.15523,42,3.38018877171722e-05
"239",240,"E05000240","00AMGK","Hoxton",NA,4097.26162385,839611.418869,9,1.07192444001148e-05
"240",241,"E05000241","00AMGL","King's Park",NA,6204.09910941,1819561.13624,0,0
"241",242,"E05000242","00AMGM","Leabridge",NA,5073.58954492,1063609.72351,42,3.94881685185641e-05
"242",243,"E05000243","00AMGN","Lordship",NA,4894.47960968,1188045.69071,14,1.17840585673031e-05
"243",244,"E05000244","00AMGP","New River",NA,6035.27012177,977976.282426,26,2.65855118033941e-05
"244",245,"E05000245","00AMGQ","Queensbridge",NA,4964.36555514,1079719.64922,15,1.38924951590587e-05
"245",246,"E05000246","00AMGR","Springfield",NA,5306.58199328,952557.391615,8,8.39844409418001e-06
"246",247,"E05000247","00AMGS","Stoke Newington Central",NA,3973.00071567,711925.389247,59,8.28738529221338e-05
"247",248,"E05000248","00AMGT","Victoria",NA,4393.56417569,802212.116896,8,9.97242478825807e-06
"248",249,"E05000249","00AMGU","Wick",NA,6782.6515527,1627432.08516,2,1.22892993092025e-06
"249",250,"E05000250","00ANGA","Addison",NA,4051.03976376,554544.321063,17,3.06558003648636e-05
"250",251,"E05000251","00ANGB","Askew",NA,5010.63245857,761396.046209,113,0.000148411592839737
"251",252,"E05000252","00ANGC","Avonmore and Brook Green",NA,5442.26944756,893398.225385,316,0.000353705649977038
"252",253,"E05000253","00ANGD","College Park and Old Oak",NA,9016.06900272,3436567.94277,103,2.99717630249352e-05
"253",254,"E05000254","00ANGE","Fulham Broadway",NA,3719.04764424,668906.569926,19,2.84045647841115e-05
"254",255,"E05000255","00ANGF","Fulham Reach",NA,4845.21580303,881076.539169,641,0.000727519087732736
"255",256,"E05000256","00ANGG","Hammersmith Broadway",NA,5652.04259654,1103434.76442,271,0.000245596757269003
"256",257,"E05000257","00ANGH","Munster",NA,3853.87466076,623991.787986,388,0.000621803054895934
"257",258,"E05000258","00ANGJ","North End",NA,3560.27034587,638054.014136,194,0.000304049493775112
